Sat Jan 20 19:25:55 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
1,2024-01-20 19:25:56,1.013,3906,-1060,35,SUCCESS
2,2024-01-20 19:25:57,2.027,3907,-2859,38,SUCCESS
3,2024-01-20 19:25:58,3.034,3906,-2859,30,SUCCESS
4,2024-01-20 19:25:59,4.046,3906,-2915,36,SUCCESS
5,2024-01-20 19:26:00,5.060,3896,-3478,36,SUCCESS
6,2024-01-20 19:26:01,6.071,3896,-3459,27,SUCCESS
7,2024-01-20 19:26:02,7.084,3895,-3459,27,SUCCESS
8,2024-01-20 19:26:03,8.093,3895,-3452,35,SUCCESS
9,2024-01-20 19:26:04,9.104,3894,-3444,21,SUCCESS
10,2024-01-20 19:26:05,10.117,3894,-3437,26,SUCCESS
11,2024-01-20 19:26:06,11.126,3894,-3433,33,SUCCESS
12,2024-01-20 19:26:07,12.138,3893,-3422,37,SUCCESS
13,2024-01-20 19:26:08,13.148,3893,-3422,24,SUCCESS
14,2024-01-20 19:26:09,14.157,3893,-3415,33,SUCCESS
15,2024-01-20 19:26:10,15.161,3892,-3408,30,SUCCESS
16,2024-01-20 19:26:11,16.170,3892,-3408,34,SUCCESS
17,2024-01-20 19:26:12,17.184,3892,-3400,36,SUCCESS
18,2024-01-20 19:26:13,18.193,3891,-3393,29,SUCCESS
19,2024-01-20 19:26:14,19.200,3891,-3393,36,SUCCESS
20,2024-01-20 19:26:15,20.213,3891,-3389,25,SUCCESS
21,2024-01-20 19:26:16,21.223,3891,-3386,30,SUCCESS
22,2024-01-20 19:26:17,22.234,3890,-3378,33,SUCCESS
23,2024-01-20 19:26:18,23.246,3890,-3375,21,SUCCESS
24,2024-01-20 19:26:19,24.260,3890,-3371,26,SUCCESS
25,2024-01-20 19:26:20,25.270,3890,-3367,30,SUCCESS
26,2024-01-20 19:26:21,26.285,3889,-3364,30,SUCCESS
27,2024-01-20 19:26:22,27.298,3889,-3364,32,SUCCESS
28,2024-01-20 19:26:23,28.308,3889,-3356,21,SUCCESS
29,2024-01-20 19:26:24,29.318,3889,-3352,29,SUCCESS
30,2024-01-20 19:26:25,30.326,3888,-3352,34,SUCCESS
31,2024-01-20 19:26:26,31.333,3888,-3349,29,SUCCESS
