Sat Jan 20 19:16:41 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
1,2024-01-20 19:16:45,4.008,3962,0,25,SUCCESS
2,2024-01-20 19:16:49,8.010,3962,0,24,SUCCESS
3,2024-01-20 19:16:53,12.014,3962,0,36,SUCCESS
4,2024-01-20 19:16:57,16.026,3962,0,23,SUCCESS
5,2024-01-20 19:17:02,20.041,3962,0,25,SUCCESS
6,2024-01-20 19:17:06,24.051,3962,0,32,SUCCESS
7,2024-01-20 19:17:10,28.066,3962,0,31,SUCCESS
8,2024-01-20 19:17:14,32.075,3962,0,21,SUCCESS
9,2024-01-20 19:17:18,36.085,3962,-7,28,SUCCESS
10,2024-01-20 19:17:22,40.094,3951,-743,35,SUCCESS
11,2024-01-20 19:17:26,44.102,3949,-1439,27,SUCCESS
12,2024-01-20 19:17:30,48.109,3936,-1652,25,SUCCESS
13,2024-01-20 19:17:34,52.110,3930,-2006,36,SUCCESS
14,2024-01-20 19:17:38,56.121,3947,-2440,24,SUCCESS
15,2024-01-20 19:17:42,60.123,3907,-3522,38,SUCCESS
16,2024-01-20 19:17:46,64.137,3905,-3492,26,SUCCESS
17,2024-01-20 19:17:50,68.142,3904,-3467,34,SUCCESS
18,2024-01-20 19:17:54,72.156,3903,-3448,35,SUCCESS
19,2024-01-20 19:17:58,76.168,3902,-3437,24,SUCCESS
20,2024-01-20 19:18:02,80.179,3901,-3419,27,SUCCESS
21,2024-01-20 19:18:06,84.185,3900,-3404,21,SUCCESS
22,2024-01-20 19:18:10,88.186,3900,-3389,22,SUCCESS
23,2024-01-20 19:18:14,92.194,3899,-3378,30,SUCCESS
24,2024-01-20 19:18:18,96.204,3898,-3367,34,SUCCESS
25,2024-01-20 19:18:22,100.211,3897,-3356,30,SUCCESS
26,2024-01-20 19:18:26,104.221,3896,-3349,34,SUCCESS
27,2024-01-20 19:18:30,108.225,3896,-3338,29,SUCCESS
28,2024-01-20 19:18:34,112.239,3895,-3327,31,SUCCESS
29,2024-01-20 19:18:38,116.253,3895,-3323,34,SUCCESS
30,2024-01-20 19:18:42,120.262,3894,-3312,23,SUCCESS
31,2024-01-20 19:18:46,124.267,3893,-3305,34,SUCCESS
32,2024-01-20 19:18:50,128.281,3893,-3297,34,SUCCESS
33,2024-01-20 19:18:54,132.283,3892,-3290,33,SUCCESS
34,2024-01-20 19:18:58,136.294,3892,-3283,23,SUCCESS
35,2024-01-20 19:19:02,140.297,3891,-3275,34,SUCCESS
36,2024-01-20 19:19:06,144.297,3891,-3272,36,SUCCESS
37,2024-01-20 19:19:10,148.297,3890,-3268,35,SUCCESS
38,2024-01-20 19:19:14,152.298,3890,-3257,35,SUCCESS
